Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,107.49282836914062,110.8986587524414,106.95507049560547,110.8986587524414,58.507240295410156,10823694
2000-01-04,108.98661804199219,109.46463012695312,105.9990463256836,107.13432312011719,56.521297454833984,8606279
2000-01-05,107.97084045410156,114.48374938964844,107.19407653808594,110.8986587524414,58.507240295410156,13318927
2000-01-06,112.81070709228516,113.70697784423828,108.50860595703125,108.98661804199219,57.498504638671875,8338607
2000-01-07,112.09368896484375,112.7509536743164,105.76004028320312,108.50860595703125,57.246307373046875,12402108
2000-01-10,112.09368896484375,114.12523651123047,110.3011474609375,112.81070709228516,59.5159797668457,8933363
2000-01-11,112.69120788574219,115.79827880859375,111.49617767333984,113.76673126220703,60.02037048339844,8235472
2000-01-12,114.36424255371094,116.63479614257812,113.04971313476562,114.24474334716797,60.272518157958984,7116775
2000-01-13,114.66300201416016,115.67877960205078,110.65965270996094,113.04971313476562,59.64208221435547,8880226
2000-01-14,115.61902618408203,117.88957977294922,112.33269500732422,114.36424255371094,60.335548400878906,11460604
2000-01-18,114.42399597167969,114.48374938964844,109.94264221191406,110.65965270996094,58.381126403808594,7995519
2000-01-19,110.48040008544922,116.63479614257812,107.7318344116211,114.24474334716797,60.272518157958984,9031687
2000-01-20,117.5908203125,119.26386260986328,113.76673126220703,113.76673126220703,60.02037048339844,18601436
2000-01-21,116.51529693603516,117.5908203125,114.66300201416016,116.15679168701172,61.28129196166992,8230660
2000-01-24,116.51529693603516,117.47132110595703,111.4364242553711,116.15679168701172,61.28129196166992,6798163
2000-01-25,111.61567687988281,114.24474334716797,110.8986587524414,113.88623046875,60.08338928222656,7255997
2000-01-26,113.82648468017578,114.66300201416016,110.8986587524414,111.61567687988281,58.88553237915039,5120275
2000-01-27,112.81070709228516,113.22896575927734,106.716064453125,108.50860595703125,57.246307373046875,8707532
2000-01-28,107.79158782958984,109.1658706665039,105.22227478027344,106.65631103515625,56.26909637451172,6976192
2000-01-31,106.47705841064453,107.8513412475586,104.80401611328125,107.3135757446289,56.6158447265625,6488024
2000-02-01,107.43307495117188,108.4488525390625,104.32600402832031,105.16252136230469,55.48099136352539,7640716
2000-02-02,107.07456970214844,110.71940612792969,105.52103424072266,108.50860595703125,57.246307373046875,8062254
2000-02-03,109.94264221191406,112.33269500732422,109.0463638305664,111.97418975830078,59.07468032836914,6499635
2000-02-04,112.98995971679688,113.22896575927734,109.76338195800781,110.54015350341797,58.31810760498047,5653944
2000-02-07,110.8986587524414,111.73518371582031,108.15009307861328,109.10611724853516,57.56155776977539,6045357
2000-02-08,111.79492950439453,113.76673126220703,111.07791900634766,113.58747863769531,59.98889923095703,5715658
2000-02-09,113.76673126220703,114.48374938964844,111.85468292236328,112.21319580078125,59.26308059692383,5621936
2000-02-10,112.51194763183594,113.88623046875,111.73518371582031,113.88623046875,60.146663665771484,4651144
2000-02-11,113.82648468017578,114.18498992919922,109.52437591552734,110.3011474609375,58.25324630737305,6013872
2000-02-14,110.8986587524414,111.25717163085938,109.46463012695312,110.95841217041016,58.60038757324219,4753024
2000-02-15,110.77915954589844,112.27294158935547,108.86711120605469,111.97418975830078,59.13684844970703,5415665
2000-02-16,111.37667083740234,112.1534423828125,110.181640625,110.65965270996094,58.44259262084961,4149377
2000-02-17,111.37667083740234,113.64722442626953,110.65965270996094,111.61567687988281,58.9474983215332,5478425
2000-02-18,110.181640625,110.83891296386719,106.5965576171875,107.55258178710938,56.80168151855469,8026376
2000-02-22,107.07456970214844,108.4488525390625,103.96749877929688,106.11854553222656,56.04426574707031,8006921
2000-02-23,105.64053344726562,105.64053344726562,103.7284927368164,103.96749877929688,54.90827941894531,7777324
2000-02-24,104.0272445678711,106.11854553222656,103.42973327636719,105.64053344726562,55.791893005371094,9531152
2000-02-25,105.04302215576172,105.04302215576172,100.3226547241211,103.25048065185547,54.52961349487305,10786561
2000-02-28,100.0239028930664,101.81644439697266,99.36663818359375,99.9043960571289,52.76244354248047,8869975
2000-02-29,100.92017364501953,100.92017364501953,96.49856567382812,98.23136138916016,51.87883377075195,10967205
2000-03-01,97.51434326171875,100.86042022705078,95.66204833984375,95.84130096435547,50.61659622192383,11304959
2000-03-02,96.08030700683594,100.80066680908203,95.12428283691406,98.5898666381836,52.068172454833984,11707773
2000-03-03,102.53346252441406,105.16252136230469,101.39818572998047,103.25048065185547,54.52961349487305,10630289
2000-03-06,105.10277557373047,106.11854553222656,96.55831909179688,98.53011322021484,52.03661346435547,11241780
2000-03-07,101.33843231201172,102.2944564819336,97.21558380126953,98.4703598022461,52.00505065917969,10496715
2000-03-08,98.4703598022461,102.1749496459961,98.23136138916016,101.57743835449219,53.646018981933594,8761714
2000-03-09,101.81644439697266,103.25048065185547,99.54589080810547,103.25048065185547,54.52961349487305,6625469
2000-03-10,102.8919677734375,104.20649719238281,100.38240814208984,100.62141418457031,53.141117095947266,7419487
2000-03-13,99.42638397216797,104.20649719238281,97.99235534667969,102.95172119140625,54.37179183959961,8233066
2000-03-14,103.011474609375,105.16252136230469,102.65296173095703,103.84799194335938,54.84519577026367,8340490
2000-03-15,102.77246856689453,103.48948669433594,101.45793151855469,102.2944564819336,54.02467727661133,5926531
